DEP;ABS;BLANCS;NULS;MÉLENCHON;MACRON;FILLON;LE PEN;HAMON;DUPONT-AIGNAN;POUTOU;LASSALLE;ASSELINEAU;ARTHAUD;CHEMINADE
1;19.6;1.9;0.67;15.88;22.62;21.43;25;5.13;6.07;0.95;1.06;1.11;0.57;0.18
2;21.34;1.71;0.81;16.99;17.94;16.3;35.67;4.24;5.08;1.1;0.79;0.75;0.96;0.19
3;21.41;2.18;1.22;19.91;23.72;18.94;22.34;5.52;5.09;1.21;1.55;0.74;0.8;0.18
4;19.22;1.77;0.72;22.51;20.02;18.49;24.53;5;4.87;1.18;1.73;0.93;0.52;0.21
5;18.94;1.73;0.69;21.62;21.8;19.15;21.25;5.88;5.68;1.21;1.85;0.9;0.47;0.19
6;21.25;1.52;0.47;14.96;19.04;27.39;27.75;3.58;4.28;0.62;0.9;1.03;0.29;0.16
7;18.7;1.92;1.57;21.8;21.64;17.3;23.17;6.01;5.08;1.33;1.81;1.01;0.67;0.19
8;22.68;1.7;0.63;17.83;18.33;17.22;32.41;4.93;5.32;1.15;0.96;0.74;0.94;0.18
9;18.22;1.8;1.02;26.76;20.92;12.75;21.7;7.85;3.61;1.26;3.54;0.86;0.6;0.15
10;19.11;1.66;0.66;13.97;18.98;23.05;30.33;4.06;6.35;0.86;0.72;0.82;0.69;0.18
11;19.27;1.76;0.87;21.52;20.07;15.06;28.26;6.35;3.86;1.17;2.17;0.83;0.56;0.16
12;16.67;2;0.99;19.66;25.83;20.78;16.2;6.16;4.85;1.32;3.66;0.74;0.63;0.18
13;21.87;1.55;0.56;22.02;19.37;19.76;27.28;4.53;3.85;0.76;0.96;0.9;0.39;0.17
14;18.02;1.53;0.71;18.83;24.83;20.5;20.36;6.8;5;1.31;0.72;0.7;0.77;0.17
15;19.39;2.23;1.03;15.91;26.73;23.58;18.17;5.25;4.42;1.29;3.1;0.58;0.76;0.22
16;21.15;1.82;1.09;20.48;25.07;16.96;21.4;6.32;5.03;1.37;1.55;0.77;0.83;0.23
17;20.22;1.75;0.79;18.97;23.91;20.59;21.14;5.76;5.32;1.28;1.38;0.79;0.67;0.18
18;22.23;2.25;0.77;19.51;22.05;19.09;24.18;5.3;5.53;1.22;1.11;0.86;0.94;0.2
