DEP;JEUN;VIEU;AGRI;ACCE;CPIS;PINT;EMPL;OUVR;CHOM
1;20.6;25;0.8;3.7;8.1;15.7;16.7;16.6;8.7
2;19.6;27.5;1.2;2.7;4.5;11.5;16.8;18.3;15
3;15.7;35.2;2;3.4;4.2;10.8;15.8;14.4;11.6
4;16.9;34.4;1.6;5.2;5.4;12.7;16;11.7;12
5;17.3;31.2;2;5.1;5.4;14.5;17.6;11.2;8.3
6;16;32.6;0.2;4.7;8.6;13.1;17.8;9.5;11.3
7;17.7;32.6;1.6;4.3;5.1;12.7;15.3;14.3;11.5
8;19;28.3;1.4;3;4.2;11.3;16;18.2;14.9
9;16.4;34.7;1.8;4.1;4.6;11.9;16.6;12.6;13.1
10;18.3;28.8;1.9;3;5.1;12;16.2;16.9;12.9
11;17.1;34.6;1.9;4.4;4.8;11.3;16.5;11.9;15.9
12;15.8;36.1;4.5;4.4;4.4;11.4;14.9;12.6;8.2
13;17.8;27.8;0.3;3.4;8.8;14.2;16.5;10.4;14.3
14;18.3;27.2;1;3.5;6.7;13.5;17;14.5;11.3
15;14.6;35.6;5.7;4.2;3.8;10;15.3;13.3;7.7
16;16.3;32.5;1.9;3.6;5.1;11.4;15.7;15.7;11.9
17;16.1;35.1;1.6;4.3;5.1;11.4;16.6;12.7;12.6
18;16.5;33.2;1.6;3.3;5.2;11.8;16.4;14.8;11.8
19;14.9;36;2.2;3.9;4.6;11.7;16;13.4;8.6
20;16.3;34.2;1.6;3.8;5.2;11.6;16.5;13.8;12.2
21;17;26.9;1.2;3.3;7.7;14.7;16.4;14.1;9.5
22;17.7;34.6;2.4;3.7;5.2;11.6;14.7;14.5;9.6
23;14;39.1;4.8;3.6;4;9.2;15.2;12;10.7
24;15.2;37.4;2.1;4.7;4.1;10.2;15.8;13.6;11.8
25;18.6;26.5;0.9;3;7.1;13.8;15.3;18.1;11
26;18.9;29.5;1.5;4.1;6.4;13.8;15.3;14.5;12.3
27;20.4;25.9;0.8;3.4;6.4;13.9;16.5;18.3;11.7
28;19.8;26.7;1.1;3.1;6.8;14.4;17.4;16.3;10.5
29;17.7;30.9;1.4;3.3;6.6;13.2;16;13.7;10.4
30;18.1;30.7;0.9;4.4;6.1;13;16.5;12.2;15.9
31;17.5;24.2;0.5;3.3;13.5;16.5;16.1;9.9;11
32;15.7;36.7;4.3;4.4;4.9;11.4;14.9;12.2;8.9
33;17.3;26.9;0.8;3.6;8.9;14.6;17.2;12.3;11.3
34;17;29.6;0.8;4.1;8;13.3;16.2;9.9;15.6
35;19.3;25.3;1.4;3.1;9.3;14.6;16.3;14.3;8.8
36;15.9;35.6;2.2;3.3;4.1;10.3;16.5;15.4;10.5
37;17.6;28.1;0.9;3.1;7.6;14.5;16.6;13.7;10.5
38;19.6;25.2;0.5;3.6;10.4;15.6;15.7;13.6;10
39;18.4;30.3;1.3;3.5;5.1;12.7;15.1;18.4;9.9
40;17;34.2;1.5;4.2;5;12.2;16.9;14.5;11.3
41;17.8;32.3;1.2;3.4;5.4;12.2;15.9;16.2;10.6
42;18.2;30;0.9;3.5;5.6;13;15.4;15.3;11.4
43;17.9;32.5;2.9;4.4;4.2;12;15.1;15.7;8.9
44;19.4;25.9;0.8;3.1;9.1;15.5;16.4;13.9;9.8
45;19.1;27.2;0.8;2.8;7.9;14.8;16.4;15.5;10.6
46;15.2;38.2;3;4.9;5.2;11.1;14.4;12.1;10.8
47;16.5;34.6;2.3;4;4.5;11.3;15.5;14.3;12.5
48;15.9;33.2;5.3;4.4;4.4;12;15.7;11.3;7.5
49;19.7;26.1;1.6;3.1;6.5;13.6;15.9;17.3;10.1
50;17.6;32;2.3;3.5;4.5;11.8;15.9;15.7;9.8
51;18.1;25.5;2.2;2.7;6.9;13.2;16.8;16.1;11.4
52;17;31.1;1.9;2.8;4.1;10.2;16.6;17.9;12.2
53;20;28.7;3.5;3.1;4.9;12.2;15.3;18.4;7.7
54;17.4;26.8;0.5;2.5;7.4;13.9;17.5;13.9;12.1
55;18.1;29.6;2;2.8;4.2;11;18;17.7;12
56;17.9;32.3;1.6;3.8;5.5;12.4;15.5;14.9;10.1
57;17.3;27.4;0.3;2.4;6.3;13.2;18;16.3;12.2
58;15.3;36.6;2;3.2;4.1;9.9;15.5;14.2;12.3
59;20.1;24;0.4;2.3;7.6;13.6;16.2;15.3;15.5
60;20.5;23.2;0.5;2.9;7.4;15.2;17.7;16.5;11.7
61;17.8;32.1;2.4;3.7;4;10.7;14.8;17.3;11.4
62;20.1;26.1;0.7;2.5;4.5;12;16.9;16.8;15.4
63;16.2;29.6;1.4;3.4;7.4;13.2;16.2;13.5;10.6
64;16.2;31.9;1.6;4;6.8;13.5;16.3;12;9.9
65;15.2;34.7;1.6;3.9;4.8;11.9;17.5;11.8;11.5
66;16.9;35.3;0.9;4.5;4.9;11.3;16.1;11.1;16.2
67;17.7;25.4;0.4;2.8;9;14.6;16.4;16.4;10.6
68;18.3;26.7;0.5;2.8;6.8;14.3;16.5;18;12.1
69;18.9;24.6;0.5;3.2;12;16.1;15.8;11.3;10.9
70;18.6;30;1.4;3.3;4.6;12;15.9;18.4;10.8
71;16.9;33;1.9;3.5;4.8;11.7;15.5;16.2;10.9
72;18.9;28.8;1.2;2.8;5.8;12.8;16.5;17.2;10.9
73;18.4;27.6;0.7;4.6;7.2;15.6;17.2;13.9;8
74;19.5;24.4;0.6;4.4;8.9;16.9;17.7;15.4;8.5
75;14.3;24;0.1;3.2;27.6;15;13.3;5;11.1
76;18.6;26.2;0.6;2.6;6.5;13.8;16.8;15.6;12.8
77;21.4;20.4;0.3;3;10;18.1;19.9;13;9.7
78;20.7;22.7;0.1;2.7;18.2;17.1;15.9;8.3;8.6
79;17.9;31;2.3;3.2;5.7;12.1;16.2;16.7;9.5
80;18.5;27;1.2;2.5;5.7;12.3;16.3;17.2;13.9
81;16.8;33.7;1.9;4;5.5;12.3;15.8;12.4;12.1
82;18.5;31.3;2.4;4.1;5;12.1;16.7;14.3;12.5
83;16.3;34.8;0.5;4.7;6;12.4;17.4;9.9;13.4
84;18.3;29.8;1.2;4.7;6;12.5;16.3;13.8;14.6
85;18.4;32.4;2;3.7;4.5;12;15.6;18.1;9.3
86;17.1;28.8;1.5;2.9;6.7;13.4;17.2;13.4;10.9
87;15.7;32.3;1.5;3.1;6.2;13.1;15.6;12.8;10.7
88;17.8;30.3;1;3.3;4.6;11.7;15.9;18.1;13.2
89;17.9;31.6;1.6;3.4;4.9;11.9;16.2;16.2;12
90;18.5;26.1;0.3;2.3;8.2;13.9;16;16.3;13.4
91;20.8;22.3;0.1;2.5;13.2;18;17.9;10.7;9.3
92;19.5;22.5;0;2.9;23.3;16.3;15.7;6.4;9.7
93;22.3;20.1;0;2.9;8;14.6;21.4;14.6;16.9
94;19.6;22.6;0;3;14.4;17;18.8;9.7;11.4
95;21.5;20.1;0.1;2.8;10.8;17.7;19.7;11.9;11.8
